cream liqueur, g,
cream liqueur, g,
cream-fresh, g,
creamy margarine, g,
croissants, to taste,
croutons, g,
crucian carp, g,
crumb crumb, g,
cucumber pickle, glass,
cucumbers, g,
cumin, g,
cumin, g,
curd cheese, g,
curd cheeses, g,
curd mass, g,
curd paste, g,
curdled milk, g,
curly salad, g,
currant leaves, g,
curry, g,
curry leaves, g,
curry paste, package,
custard cream, g,
custard cream, g,
cuttlefish, g,
cuttlefish ink, g,
daikon, g,
dairy products, g,
dandelions, g,
dark beer, can,
dark bitter chocolate, g,
dark bitter chocolate 70%, g,
dark bitter chocolate 75%, h. l.,
dark bitter chocolate 85%, g,
dark malt, g,
dark rum, g,
dates, g,
deep fat oil, g,
dessert wine, g,
dill, g,
dill seed, h. l.,
ditaloni pasta, g,
dogwood, g,
dolma, g,
dorada, pcs.,
dorada carcass, pcs.,
dorada gutted with head, pcs.,
dorada with head, pcs.,
dough for pizza, pcs.,
dough for wontons, g,
dough kataifi, g,
dragee, g,
dragon fruit, pcs.,
dried apples, g,
dried apricots, to taste,
dried barberry, Art. l.,
dried basil, g,
dried berries, to taste,
dried celery root, to taste,
dried chamomile, g,
dried chanterelles, g,
dried cherries, g,
dried cilantro, g,
dried cranberries, g,
dried currants, g,
dried dill, g,
dried figs, g,
dried fish caviar, g,
dried fruits, g,
dried garlic, g,
dried lavender, a pinch,
dried lingonberry, g,
dried marjoram, g,
dried mint, g,
dried mulberry, g,
dried onions, g,
dried oregano, g,
dried parsley, g,
dried peaches, handful,
dried pears, g,
dried pineapples, g,
dried prunes, g,
dried raspberries, g,
dried rose buds, g,
dried rosemary, to taste,
dried sage, leaf,
dried sea cabbage, g,
dried shrimp, g,
dried strawberries, g,
dried sweet pepper, g,
dried tarragon, twig,
dried thyme, g,
dried thyme, g,
dried tropical fruits, to taste,
dry biscuits, g,
dry breakfast, g,
dry champagne, Art. l.,
dry chili, st. l.,
dry herbs, g,
dry jelly, g,
dry kvass concentrate, packaging,
dry morels, g,
dry mushrooms, g,
dry mustard, g,
dry porcini mushrooms, g,
dry red wine, g,
dry shiitake mushrooms, g,
dry sparkling wine, g,
dry vermouth, g,
dry white bread, g,
dry white wine, g,
dry yeast, to taste,
drying, g,
duck, to taste,
duck breast, g,
duck carcass, carcass,
duck fillet, g,
duck legs, to taste,
duck liver, g,
duck thighs, g,
dumplings, g,
dumplings dough, g,
ear pasta (orecchiette), g,
earl gray tea, glass,
early tkemali sauce, Art. l.,
edam, g,
eel, g,
egg melange, g,
egg noodles, g,
egg noodles in nests, pcs.,
egg powder, Art. l.,
egg whites, g,
egg yolks, g,
eggnog, glass,
eggplant, to taste,
elderberry syrup, art. l.,
elk meat, kg,
emmental, g,
escalope, g,
espresso coffee, glass,
eternal leaven, g,
exotic sauce, g,
fat, g,
fat, g,
fat cottage cheese, g,
fat cream, g,
fat sour cream, g,
fat tail fat, g,
fat tail fat, g,
fat yogurt, g,
fat-free cocoa powder, g,
fat-free cottage cheese, g,
fat-free kefir, g,
fat-free yogurt, g,
feijoa, g,
fennel, g,
fennel seeds, g,
fennel seeds ground, g,
fenugreek, g,
fenugreek seeds, g,
fermented baked milk, g,
fermented baked milk 4%, g,
fermented milk drink Tan, ml,
fern, g,
festoon, g,
feta, g,
feta cheese, to taste,
fetaki, g,
fetax, g,
fettuccine, g,
figs, g,
fillet of red perch, pcs.,
filo dough, g,
fish, g,
fish bones, g,
fish broth, g,
fish dory fillet, pcs.,
fish fillet, g,
fish sauce, g,
fish sauce Nam Pla, g,
"fish trimmings, heads, fins", to taste,
fish-salt, carcass,
flaked dried tomatoes, g,
flakes of 7 cereals, Art. l.,
flat cakes, g,
"flavor ""raspberry"" """"", drop,
"flavor ""rum"" """"", g,
flavoring, g,
"flavoring ""pineapple"" """"", to taste,
flax seeds, g,
flaxseed, g,
flaxseed flour, g,
flounder, g,
flounder fillet, g,
flour, g,
"flour ""Aladushkin""", g,
flour 1 grade, g,
flour for tempura, g,
flour grade 2, g,
flour with bran, h. l.,
flour with seeds, g,
flower pollen, g,
flying fish roe, g,
focaccia, to taste,
fontina cheese, g,
food black dye, g,
food color green, Art. l.,
food color yellow, g,
food dye, g,
food dye gel, pcs.,
food dye purple, g,
food orange dye, g,
forest berries, g,
forest mushrooms, g,
fortified wine, g,
fresh basil, g,
fresh broccoli, g,
fresh champignons, g,
fresh cilantro, clove,
fresh cucumbers, g,
fresh dill, g,
fresh figs, g,
fresh lake trout, pcs.,
fresh laurel leaves, pcs.,
fresh lingonberry, g,
fresh mackerel, g,
fresh marjoram, to taste,
fresh mushrooms, g,
fresh oregano, g,
fresh peas, g,
fresh pork sausage (salsiccia), pcs.,
fresh sage, bunch,
fresh salmon, g,
fresh salmon fillet, g,
fresh sorrel, twig,
fresh spinach, g,
fresh sprat, g,
fresh yeast, g,
freshly brewed coffee, g,
freshly ground black pepper, g,
freshly ground pepper mixture, g,
freshly ground white pepper, h. l.,
freshly salted salmon, g,
freshly squeezed orange juice, g,
freshly squeezed pomegranate juice, ml,
friable biscuits, g,
fried corn kikos, g,
frisse salad, g,
frozen Brussels sprouts, g,
frozen berries, g,
frozen blackberries, g,
frozen blueberries, g,
frozen blueberries, g,
frozen broccoli, g,
frozen cauliflower, g,
frozen champignons, g,
frozen cherries, g,
frozen corn, g,
frozen cranberries, g,
frozen forest berries, g,
frozen green beans, g,
frozen green peas, g,
frozen lingonberry, g,
frozen mushrooms, g,
frozen mushrooms, g,
frozen mushrooms (honey agarics and boletus), g,
frozen mussels, pcs.,
frozen plums, g,
frozen porcini mushrooms, g,
frozen potato hash, g,
frozen raspberries, g,
frozen sea buckthorn, g,
frozen sea cabbage, g,
frozen sea cocktail, g,
frozen shrimp, g,
frozen sorrel, g,
frozen spinach, g,
frozen squid, g,
frozen strawberries, g,
frozen strawberries, g,
frozen vegetable mixture, g,
frozen vegetable mixture for wok, g,
frozen young beans, g,
frozen zucchini, g,
fructose, g,
fruit, g,
fruit juice, g,
fruit juice without sugar, glass,
fruit syrup, g,
fruit yogurt, g,
funchose, g,
gala apples, g,
galangal root, lobule,
ganache, g,
garam masala, g,
garlic, g,
garlic oil, to taste,
garlic powder, g,
garlic salt, a pinch,
gazpacho, g,
gelatin, g,
gelatinous mastic, g,
gelling agent, packaging,
gelling sugar, g,
geranium leaves, g,
ghee, g,
gherkins, g,
gigli pasta, g,
gin, g,
ginger, g,
ginger beer, ml,
ginger jam, g,
ginger root, g,
gingerbread, g,
gingerbread cookie, to taste,
gingerbread dough, g,
gingerbread spices, g,
ginseng, g,
glass noodles, g,
glaze, g,
glaze black, to taste,
glaze white, g,
glazed corn flakes, g,
glucose, g,
glucose syrup, g,
gluten, g,
goat liver, g,
goat milk, g,
goat yogurt, g,
goji, g,
golden rice, g,
goose, g,
goose carcass, kg,
goose fat, Art. l.,
goose liver, g,
gooseberry, g,
gooseberry jam, jar,
gorgonzola, g,
gorgonzola picante, g,
gouda cheese, g,
goya cheese, g,
grain buns, pcs.,
grana padano, art. l.,
granite, g,
granny smith apples, kg,
granola with nuts, g,
granulated cottage cheese, g,
granulated sugar, g,
granulated sugar, g,
grape candy, g,
grape jelly, Art. l.,
grape juice, g,
grape leaves, g,
grape seed oil, g,
grape snails, pcs.,
grapefruit, g,
grapefruit juice, g,
grapefruit zest, g,
grapes, g,
grapes blue, g,
grappa, h. l.,
grated carrots, pcs.,
gratin, kg,
graviera cheese, g,
gray bread, g,
green apples, g,
green asparagus, g,
green beans, g,
green beans, g,
green buckwheat, Art. l.,
green chili, pod,
green coffee, g,
green lentils, g,
green marzipan, g,
green olives, to taste,
green onion, g,
green peas, g,
green radish, pcs.,
green tea, bag,
green tomatoes, kg,
greens, g,
grenades, g,
grenadine, g,
grill, g,
grissini, g,
ground allspice, g,
ground barberry, g,
ground beef, to taste,
ground black pepper, g,
ground caraway seeds, g,
ground cardamom, g,
ground cayenne pepper, a pinch,
ground chili pepper, g,
ground cinnamon, g,
ground cloves, to taste,
ground coffee, art. l.,
ground coriander, g,
ground crackers, g,
ground flaxseed, g,
ground ginger, g,
ground hot pepper, a pinch,
ground nutmeg, g,
ground pepperoncino, pinch,
ground poppy seeds, g,
ground quinoa, g,
ground red hot pepper, to taste,
ground red paprika, g,
ground red pepper, g,
ground saffron, h. l.,
ground sweet red pepper, g,
ground white pepper, g,
gruyere, g,
guanchiale, g,
guava, pcs.,
guinea fowl carcass, g,
guryev porridge, g,
haddock, pcs.,
hake, g,
hake fillet, g,
halibut, g,
halibut caviar, g,
halibut fillet, pcs.,
halloumi, g,
halva, g,
halva vanilla, g,
ham, g,
ham, g,
hamburger, g,
hamburger buns, pcs.,
hard cheese, g,
hard goat cheese, g,
hare, g,
harisa paste, art. l.,
hawarty cheese, g,
hazel grouse, g,
hazelnut flour, g,
hazelnuts, g,
hazelnuts, g,
head salad, g,
hemp oil, art. l.,
hemp seeds, g,
hercules, g,
herring, g,
herring, g,
herring fillet, g,
hibiscus, g,
homemade cheese, g,
homemade mayonnaise, g,
homemade sausages, pcs.,
homemade yeast, g,
honey, g,
honey mushrooms, to taste,
honeysuckle, g,
hops, art. l.,
hops-suneli, g,
horse mackerel, g,
horseradish, g,
horseradish mashed, g,
horseradish with cream, g,
hot green pepper, pcs.,
hot mustard, g,
hot pepper, g,
hot red pepper, g,
hot red pepper, g,
hot red sauce, g,
hot smoked coho salmon fillet, g,
hot smoked paprika, g,
hot smoked salmon, g,
hot smoked smelt, g,
hot smoked trout, g,
hot spanish pepper, pcs.,
hunting sausages, g,
ice, g,
ice cream, to taste,
ice cream sundae, g,
iceberg salad, g,
icing, g,
icing sugar, g,
instant cereal, glass,
instant coffee, g,
instant oat flakes, g,
instant polenta, glass,
intestine, g,
irga, g,
jalapeno pepper, g,
jam, g,
jam, g,
jam, g,
jamon, g,
jasmine rice, g,
jasmine tea, art. l.,
jelly, g,
jelly, g,
jugas cheese, g,
juice, g,
juniper berries, g,
jusai, g,
kaffir lime leaves, to taste,
kalamata olives, g,
kale cabbage, g,
kalindzhi seeds, h. l.,
kandurin gold, p. l.,
katyk, g,
kebab ketchup, g,
kefalotiri cheese, g,
kefir 1%, g,
kefir 2.5%, g,
kefir 3.2%, g,
kidneys, g,
kimchi, g,
king prawns, g,
kirsch, st. l.,
kiwi, kg,
kiwi jelly, g,
knuckle, to taste,
kohlrabi cabbage, g,
korinka, art. l.,
krill meat, g,
kumquats, a handful,
kupats, pcs.,
kvass, g,
kvass wort, g,
lady fish carcass, pcs.,
lamb, g,
lamb, g,
lamb chops on the bone, pcs.,
lamb entrecotes, kg,
lamb guts, kg,
lamb ham on the bone, piece,
lamb leg without bone, g,
lamb liver, g,
lamb loin, g,
lamb ribs, pcs.,
lamb rump, g,
lamb shanks, pcs.,
lamb shoulder, kg,
lamprey, g,
langoustines, pcs.,
lard, g,
lard with meat layers, g,
large carrots, g,
large egg yolks, g,
large leaf black tea, tsp l.,
large oranges, pcs.,
large shell pasta, g,
lavash, to taste,
lavender, g,
lavender dye, h. l.,
lavender honey, g,
leaf lettuce, g,
lean pork, g,
lecho, g,
leek, handful,
leg of lamb, g,
lemon basil, g,
lemon extract, g,
lemon ice cream, to taste,
lemon juice, g,
lemon pepper, g,
lemon thyme, twig,
lemon vinegar, g,
lemon zest, g,
lemonade, g,
lemongrass (lemon sorghum), g,
lemongrass berries, g,
lemongrass stem, g,
lemons, g,
lentils, g,
lettuce, g,
light beer, g,
light mayonnaise, g,
lightly salted cucumbers, pcs.,
lime, g,
lime juice, g,
lime leaves, pcs.,
lime zest, g,
limoncello, g,
lingonberry jam, g,
lingonberry sauce, g,
linguine, pcs.,
linseed oil, h. l.,
liqueur, g,
liqueur Alchermes, g,
liqueur Amaretto, g,
liqueur Cointreau, g,
liquid honey, g,
liquid malt, g,
liquid smoke, g,
liver, g,
liver, g,
loaf, g,
lobster, g,
long grain golden rice, g,
long grain rice, g,
long kong, pcs.,
longan, g,
lovage, g,
low-fat sour cream, g,
low-fat yogurt, g,
lungs, g,
lychee, pcs.,
lychee compote, g,
maasdam, g,
macadamia nuts, g,
macaroons, g,
mackerel, to taste,
mackerel fillet, g,
mackeroncini, g,
mafaldine, g,
malt, h. l.,
malt extract, g,
mango, to taste,
mango syrup, ml,
mangosteen, pcs.,
manitoba flour, g,
maple syrup, g,
maraschino cherry, pcs.,
marble cheese, g,
margarine, g,
marinated jalapeno peppers, pcs.,
marinated porcini mushrooms, g,
marinated sweet red pepper, pcs.,
marjoram, g,
marmalade, to taste,
marshmallow, g,
marshmallow cream, g,
marshmallow mini, g,
marshmallows, g,
martini, g,
martini red, g,
marzipan, to taste,
mascarpone, g,
mash, g,
mashed potatoes, to taste,
mastic, g,
match, g,
matsoni, g,
matzo, g,
mayonnaise, g,
"mayonnaise ""Sloboda"" Light", g,
"mayonnaise ""Sloboda"" Olive", g,
"mayonnaise ""Sloboda"" On quail eggs", g,
"mayonnaise ""Sloboda"" Provencal", g,
"mayonnaise ""Sloboda"" Smetanny", g,
"mayonnaise ""Sloboda"" With lemon juice", g,
"mayonnaise sauce ""Sloboda"" Lean", g,
meal, g,
meat, g,
meat broth, g,
meat on the bone, kg,
meatballs, g,
melissa, g,
melon, g,
melted fat, glass,
meringue, g,
meringue, pcs.,
microgreens, a handful,
milk, g,
milk 0.5%, g,
milk 1.5%, g,
milk 2.5%, g,
milk 3.2%, g,
milk 3.6%, g,
milk 4%, g,
milk 6%, g,
milk chocolate, g,
milk mixture, g,
millet, g,
millet flakes, Art. l.,
minced chicken, g,
minced chicken sausages, pcs.,
minced fish, g,
minced lamb, g,
minced meat, g,
minced meat (lamb and beef), g,
minced meat (pork and chicken), g,
minced mutton, g,
minced pork, g,
minced salmon, g,
minced turkey, g,
minced veal, g,
mini baguette, g,
mini bananas, g,
mini corn, pcs.,
mini eggplant, g,
mint, g,
mint chocolate, g,
mint schnapps, g,
mint syrup, g,
mirin sauce, to taste,
mirror carp, kg,
miso paste, g,
miso soup, packet,
mixture for pancakes, g,
molasses, g,
monosodium glutamate, g,
mortadella, g,
mozzarella, g,
mozzarella ball large, g,
mozzarella for baking, g,
mozzarella for pizza, g,
mozzarella mini, g,
mozzarella with herbs, g,
muesli, g,
mulberry, g,
mullet, g,
multivitamin juice, ml,
muscovado sugar, a handful,
mushrooms, g,
mussels, g,
mussels in shells, g,
mussels in shells, small green, g
mussels in shells are large black, g,
mustard, g,
mustard oil, g,
mustard powder, g,
mustard seeds, g,
mustard with grains, g,
mutton liver, g,
nardek, g,
narsharab sauce, g,
natural yoghurt, g,
neck, g,
nectarines, pcs.,
nettle, g,
non-acidic sour cream, g,
noodles, g,
nori, g,
nougat, g,
nougat with nuts, g,
nut butter, pcs.,
nut butter, Art. l.,
nut crumb, glass,
nut liqueur, ml,
nut sauce, Art. l.,
nutella, g,
nutmeg, g,
nutmeg wine, g,
nuts, g,
oak bark, g,
oat bran, g,
oat flakes, g,
oat flour, g,
oat grains, g,
oat milk, glass,
oat pancakes, pcs.,
oatmeal, g,
oatmeal cookies, g,
octopus, g,
octopus mini, g,
okra, g,
olive mayonnaise, g,
olive oil, g,
olive paste, g,
olives, g,
olives, g,
olives stuffed with anchovies, g,
onion, g,
onion peel, g,
onion powder, g,
orange essence, h. l.,
orange extract, h. l.,
orange jam, g,
orange jam, g,
orange jam with ginger, g,
orange juice, to taste,
orange liqueur, g,
orange peel, g,
orange syrup, glass,
orange vinegar, Art. l.,
orange water, g,
oranges, g,
oregano, g,
oregano, g,
orzo pasta, g,
oxtail, g,
oyster mushrooms, g,
oyster sauce, tsp l.,
oysters, g,
padron pepper, g,
paella seasoning, to taste,
pagra, g,
palm oil, g,
palm sugar, g,
pancake flour, g,
pancetta, g,
paneer cheese, g,
panettone, pcs.,
pangasius, g,
papaya, g,
pappardelle, g,
paprika, g,
parboiled rice, g,
